country,purpose_class,active_objects,share
France,Navigation,2,0.006756756756756757
France,Other,141,0.47635135135135137
France,Science & Technology,11,0.037162162162162164
Germany,Communications,35,0.2966101694915254
Germany,Earth Observation & Meteorology,25,0.211864406779661
Germany,ISS & Human Spaceflight,6,0.05084745762711865
Germany,Navigation,1,0.00847457627118644
Germany,Other,41,0.3474576271186441
Germany,Science & Technology,10,0.0847457627118644
Hungary,Communications,2,0.4
Hungary,Earth Observation & Meteorology,1,0.2
Hungary,ISS & Human Spaceflight,1,0.2
Hungary,Other,1,0.2
India,Communications,43,0.34959349593495936
India,Earth Observation & Meteorology,25,0.2032520325203252
India,ISS & Human Spaceflight,2,0.016260162601626018
India,Navigation,9,0.07317073170731707
India,Other,36,0.2926829268292683
India,Science & Technology,8,0.06504065040650407
Indonesia,Communications,9,0.45
Indonesia,ISS & Human Spaceflight,3,0.15
Indonesia,Other,8,0.4
Iran,Earth Observation & Meteorology,1,0.07692307692307693
Iran,Other,12,0.9230769230769231
Israel,ISS & Human Spaceflight,1,0.027777777777777776
Israel,Other,35,0.9722222222222222
Italy,Communications,10,0.12987012987012986
Italy,Earth Observation & Meteorology,2,0.025974025974025976
Italy,ISS & Human Spaceflight,14,0.18181818181818182
Italy,Other,40,0.5194805194805194
Italy,Science & Technology,11,0.14285714285714285
Japan,Communications,60,0.2542372881355932
Japan,Earth Observation & Meteorology,25,0.1059322033898305
Japan,ISS & Human Spaceflight,46,0.19491525423728814
Japan,Navigation,6,0.025423728813559324
Japan,Other,67,0.2838983050847458
Japan,Science & Technology,32,0.13559322033898305
Kazakhstan,Communications,1,0.1111111111111111
Kazakhstan,ISS & Human Spaceflight,1,0.1111111111111111
Kazakhstan,Other,7,0.7777777777777778
Lithuania,Other,2,0.3333333333333333
Lithuania,Science & Technology,4,0.6666666666666666
Luxembourg,Communications,10,0.18181818181818182
Luxembourg,ISS & Human Spaceflight,24,0.43636363636363634
Luxembourg,Navigation,4,0.07272727272727272
Luxembourg,Other,17,0.3090909090909091
Malaysia,Communications,6,0.6
Malaysia,Earth Observation & Meteorology,3,0.3
Malaysia,Science & Technology,1,0.1
Mexico,Communications,6,0.3333333333333333
Mexico,Earth Observation & Meteorology,1,0.05555555555555555
Mexico,ISS & Human Spaceflight,2,0.1111111111111111
Mexico,Other,9,0.5
Mongolia,Other,12,1.0
Morocco,Earth Observation & Meteorology,3,0.6
Morocco,Other,2,0.4
Netherlands,ISS & Human Spaceflight,3,0.21428571428571427
Netherlands,Other,8,0.5714285714285714
Netherlands,Science & Technology,3,0.21428571428571427
Norway,Communications,9,0.375
Norway,Navigation,1,0.041666666666666664
Norway,Other,10,0.4166666666666667
Norway,Science & Technology,4,0.16666666666666666
Pakistan,Communications,1,0.125
Pakistan,Earth Observation & Meteorology,1,0.125
Pakistan,ISS & Human Spaceflight,3,0.375
Pakistan,Other,1,0.125
Pakistan,Science & Technology,2,0.25
Poland,Earth Observation & Meteorology,1,0.125
Poland,Other,7,0.875
Republic of Korea,Communications,13,0.2
Republic of Korea,Earth Observation & Meteorology,9,0.13846153846153847
Republic of Korea,ISS & Human Spaceflight,3,0.046153846153846156
Republic of Korea,Navigation,2,0.03076923076923077
Republic of Korea,Other,26,0.4
Republic of Korea,Science & Technology,12,0.18461538461538463
Russian Federation,Communications,102,0.07780320366132723
Russian Federation,Earth Observation & Meteorology,60,0.04576659038901602
Russian Federation,ISS & Human Spaceflight,105,0.08009153318077804
Russian Federation,Navigation,141,0.10755148741418764
Russian Federation,Other,879,0.6704805491990846
Russian Federation,Science & Technology,24,0.018306636155606407
Rwanda,Other,6,1.0
Saudi Arabia,Communications,10,0.3225806451612903
Saudi Arabia,Other,21,0.6774193548387096
Singapore,Other,28,1.0
South Africa,Earth Observation & Meteorology,3,0.6
South Africa,ISS & Human Spaceflight,1,0.2
South Africa,Science & Technology,1,0.2
Spain,Communications,10,0.18867924528301888
Spain,Earth Observation & Meteorology,7,0.1320754716981132
Spain,Other,31,0.5849056603773585
Spain,Science & Technology,5,0.09433962264150944
Sweden,Communications,4,0.2
Sweden,ISS & Human Spaceflight,3,0.15
Sweden,Other,9,0.45
Sweden,Science & Technology,4,0.2
Switzerland,Other,22,1.0
Taiwan,Other,25,1.0
Thailand,Earth Observation & Meteorology,2,0.13333333333333333
Thailand,Other,13,0.8666666666666667
Türkiye,Communications,23,0.5476190476190477
Türkiye,Earth Observation & Meteorology,5,0.11904761904761904
Türkiye,Other,13,0.30952380952380953
Türkiye,Science & Technology,1,0.023809523809523808
Ukraine,Earth Observation & Meteorology,2,0.2857142857142857
Ukraine,Other,5,0.7142857142857143
United Arab Emirates,Communications,6,0.3
United Arab Emirates,Earth Observation & Meteorology,10,0.5
United Arab Emirates,ISS & Human Spaceflight,1,0.05
United Arab Emirates,Other,2,0.1
United Arab Emirates,Science & Technology,1,0.05
United Kingdom,Communications,717,0.9275549805950841
United Kingdom,Earth Observation & Meteorology,8,0.01034928848641656
United Kingdom,ISS & Human Spaceflight,5,0.00646830530401035
United Kingdom,Navigation,1,0.00129366106080207
United Kingdom,Other,28,0.03622250970245795
United Kingdom,Science & Technology,14,0.018111254851228976
United States,Communications,9737,0.9721445686900958
United States,ISS & Human Spaceflight,1,9.984025559105431e-05
United States,Other,182,0.018170926517571885
United States,Science & Technology,96,0.009584664536741214
Uruguay,Earth Observation & Meteorology,19,0.6333333333333333
Uruguay,Other,11,0.36666666666666664
